Unadjusted,Seasonally adjusted
1129499 ,1635894 
1091473 ,1670244 
1407797 ,1743752 
1730586 ,1718920 
2180485 ,1728313 
2234343 ,1750440 
2084717 ,1761055 
1948485 ,1766053 
1957802 ,1776992 
1916042 ,1807074 
1792968 ,1803608 
1506701 ,1818555 
1202435 ,1796061 
1190131 ,1841024 
1459664 ,1829779 
1903419 ,1870612 
2439524 ,1893842 
2386704 ,1877330 
2162050 ,1866856 
2131652 ,1873035 
2118400 ,1906915 
2025834 ,1922686 
1962942 ,1953177 
1616441 ,1967881 
1376930 ,2005641 
1312405 ,2022148 
1676119 ,2064020 
2007353 ,2074853 
2695093 ,2030759 
2625832 ,2051274 
2401787 ,2085209 
2398493 ,2087060 
2288858 ,2074637 
2245817 ,2094095 
2096313 ,2097159 
1725018 ,2163163 
1538035 ,2176664 
1406378 ,2169311 
1750055 ,2180989 
2111598 ,2186054 
2965716 ,2231912 
2830311 ,2239308 
2597024 ,2217205 
2568938 ,2246125 
2408900 ,2257938 
2471577 ,2256795 
2226100 ,2220695 
1776820 ,2268458 
1643932 ,2317656 
1537545 ,2276461 
1729509 ,2286500 
2257528 ,2218869 
2987637 ,2292018 
2857570 ,2326352 
2842272 ,2352671 
2575500 ,2335876 
2600556 ,2352705 
2515870 ,2303587 
2191559 ,2270422 
1786037 ,2192398 
1471214 ,2112894 
1440330 ,2223190 
1735009 ,2203966 
2185598 ,2247581 
2897632 ,2285529 
2903549 ,2281587 
2787962 ,2307221 
2540765 ,2307473 
2596653 ,2328055 
2544482 ,2338903 
2313995 ,2360198 
1937248 ,2357840 
1751053 ,2561173 
1519774 ,2319723 
2035412 ,2499396 
2390528 ,2422012 
2906407 ,2300600 
2957157 ,2289586 
2684243 ,2214588 
2517671 ,2218664 
2426951 ,2176275 
2342211 ,2186927 
2282470 ,2242750 
1795637 ,2177819 
1507220 ,2239586 
1470045 ,2245953 
1817301 ,2216772 
2090964 ,2147024 
2845987 ,2224658 
2893798 ,2277939 
2635031 ,2228465 
2587570 ,2238726 
2509177 ,2253000 
2355982 ,2242285 
2310215 ,2273406 
1893613 ,2329090 
1522381 ,2233919 
1546316 ,2283918 
1877999 ,2311615 
2169876 ,2289111 
2942469 ,2224495 
2799327 ,2210984 
2676441 ,2248160 
2593227 ,2227167 
2387739 ,2230844 
2448175 ,2240105 
2248336 ,2224806 
1765840 ,2253003 
1580000 ,2260779 
1466567 ,2263484 
1761502 ,2273719 
2249943 ,2256193 
3023211 ,2281541 
2749101 ,2253678 
2793667 ,2299595 
2723705 ,2373512 
2511983 ,2353988 
2551868 ,2331367 
2286635 ,2302014 
1714428 ,2162737 
1593554 ,2281430 
1457890 ,2261830 
1754666 ,2249113 
2188354 ,2227626 
3111934 ,2353102 
2934572 ,2405311 
2987685 ,2444426 
2670478 ,2388626 
2617424 ,2381870 
2652703 ,2424586 
2295498 ,2383621 
1966215 ,2429432 
1681485 ,2419489 
1565004 ,2425251 
1998390 ,2527216 
2469772 ,2523426 
3396197 ,2587927 
3180305 ,2517611 
3036410 ,2480620 
2775201 ,2526736 
2790388 ,2521553 
2755006 ,2535929 
2512584 ,2609168 
2114173 ,2599990 
1831579 ,2681164 
1816345 ,2722666 
2148912 ,2683924 
2723583 ,2713695 
3499524 ,2634862 
3304993 ,2606366 
3155022 ,2652804 
3039953 ,2673408 
2969050 ,2695876 
2843383 ,2717306 
2814682 ,2809180 
2304028 ,2859800 
2011575 ,2935709 
1867716 ,2881420 
2354043 ,2905926 
2915135 ,3042575 
4031356 ,2965402 
3895683 ,3053145 
3609415 ,3086659 
3468538 ,3050348 
3440362 ,3159635 
3376377 ,3189008 
3120733 ,3160941 
2459482 ,3119650 
2128856 ,3038029 
2054680 ,3171907 
2481827 ,3150156 
2958899 ,3032085 
4449788 ,3251644 
4084996 ,3221460 
3751218 ,3160336 
3543130 ,3138854 
3267494 ,3090537 
3330277 ,3077132 
3021441 ,3045496 
2443760 ,3138731 
2237378 ,3165449 
1983758 ,3070858 
2557934 ,3234977 
3037463 ,3143834 
4309518 ,3173587 
4198867 ,3333393 
3900774 ,3225844 
