"","ky","kt","error"
"1",0,0,169980.725232355
"2",0,1,150592.694220904
"3",0,2,147989.664758892
"4",0,3,152504.683908218
"5",0,4,152785.313652204
"6",0,5,153214.6949717
"7",0,6,168911.546416265
"8",0,7,169234.046910696
"9",0,8,169234.046910696
"10",0,9,169234.046910696
"11",1,0,195551.888602054
"12",1,1,147155.841737204
"13",1,2,138286.26768521
"14",1,3,128189.781387054
"15",1,4,128108.542120583
"16",1,5,128140.307692288
"17",1,6,124891.080540512
"18",1,7,124891.080540512
"19",1,8,125016.377559757
"20",1,9,125016.377559757
"21",2,0,221438.638141214
"22",2,1,160201.463245081
"23",2,2,149885.702838861
"24",2,3,131344.728054896
"25",2,4,130894.109982017
"26",2,5,130866.614322922
"27",2,6,119899.894353365
"28",2,7,119895.066367457
"29",2,8,119895.066367457
"30",2,9,119922.400795711
"31",3,0,296738.768373153
"32",3,1,180876.757254683
"33",3,2,150386.029932789
"34",3,3,138714.480450902
"35",3,4,138273.304609042
"36",3,5,138027.247700515
"37",3,6,120070.19543117
"38",3,7,120070.214644666
"39",3,8,119945.609789726
"40",3,9,119954.615068652
"41",4,0,296738.768373153
"42",4,1,184523.900089006
"43",4,2,170506.358689387
"44",4,3,138968.180575672
"45",4,4,138774.511495466
"46",4,5,138455.073888594
"47",4,6,125554.358619557
"48",4,7,125554.358619557
"49",4,8,125554.355787232
"50",4,9,125244.71702752
"51",5,0,296738.768373153
"52",5,1,185298.327386562
"53",5,2,170506.358689387
"54",5,3,158264.214684653
"55",5,4,157411.59795081
"56",5,5,156641.865933772
"57",5,6,125554.561117088
"58",5,7,125554.561117088
"59",5,8,125554.561117088
"60",5,9,125554.572178094
"61",6,0,296738.768373153
"62",6,1,259431.103119239
"63",6,2,173090.213561864
"64",6,3,158264.800842028
"65",6,4,157882.395993317
"66",6,5,157882.395993317
"67",6,6,142423.989018019
"68",6,7,142338.483783147
"69",6,8,142338.483783147
"70",6,9,142338.444363926
"71",7,0,296738.768373153
"72",7,1,259431.103119239
"73",7,2,174906.013944703
"74",7,3,158508.952631633
"75",7,4,157882.395993317
"76",7,5,157882.395993317
"77",7,6,143301.769342825
"78",7,7,143216.264107953
"79",7,8,143216.264107953
"80",7,9,143216.264107953
"81",8,0,296738.768373153
"82",8,1,259431.103119239
"83",8,2,238897.842032766
"84",8,3,162359.883147088
"85",8,4,157883.048827108
"86",8,5,157883.048827108
"87",8,6,143302.516709084
"88",8,7,143219.598395979
"89",8,8,143219.598395979
"90",8,9,143219.598395979
"91",9,0,296738.768373153
"92",9,1,259431.103119239
"93",9,2,238897.842032766
"94",9,3,238433.597640455
"95",9,4,160491.5289336
"96",9,5,158125.348180663
"97",9,6,143544.816062638
"98",9,7,143219.598395979
"99",9,8,143219.598395979
"100",9,9,143219.598395979
